"Country";"Youth_Unemployment_Rate";"Education_Expenditure";"Net_Migration";"Code";"Category";"continent";"subcontinent";"income_status"
"French Polynesia";56,7;.;-0,7;"PYF";"High income";"Oceania";"Polynesia";"High income"
"Kosovo";55,4;.;-1,8;"XKS";.;.;.;.
"South Africa";53,4;6,5;-0,2;"ZAF";"Upper middle income";"Africa";"Sub-Saharan Africa";"Upper middle income"
"Libya";48,7;.;-0,7;"LBY";"Upper middle income";"Africa";"Northern Africa";"Upper middle income"
"Eswatini";47,1;7,1;-6,8;"SWZ";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Saint Lucia";46,2;3,3;-1,7;"LCA";"Upper middle income";"Americas";"Latin America and the Caribbean";"Upper middle income"
"Macedonia";45,4;.;0,4;.;.;.;.;.
"Gaza Strip";42,2;5,3;-4,7;"XGZ";.;.;.;.
"West Bank";42,2;5,3;-4,2;"XWB";.;.;.;.
"Malawi";40,5;4,7;0;"MWI";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Greece";39,9;.;0,9;"GRC";"High income";"Europe";"Southern Europe";"High income"
"Angola";39,4;3,4;-0,2;"AGO";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Algeria";39,3;.;-0,9;"DZA";"Upper middle income";"Africa";"Northern Africa";"Upper middle income"
"South Sudan";38,6;1,5;0,2;"SSD";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"New Caledonia";38,4;.;3,8;"NCL";"High income";"Oceania";"Melanesia";"High income"
"Namibia";38;3,1;0;"NAM";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Armenia";36,3;2,7;-5,5;"ARM";"Upper middle income";"Asia";"Western Asia";"Upper middle income"
"Botswana";36;.;2,9;"BWA";"Upper middle income";"Africa";"Sub-Saharan Africa";"Upper middle income"
"Syria";35,8;.;27,1;"SYR";"Low income";"Asia";"Western Asia";"Low income"
"Gabon";35,7;2,7;3,9;"GAB";"Upper middle income";"Africa";"Sub-Saharan Africa";"Upper middle income"
"Jordan";35,6;3,1;-11,3;"JOR";"Lower middle income";"Asia";"Western Asia";"Lower middle income"
"Tunisia";35;6,6;-1,4;"TUN";"Lower middle income";"Africa";"Northern Africa";"Lower middle income"
"Lesotho";34,4;7;-6,1;"LSO";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Spain";34,3;4,2;7;"ESP";"High income";"Europe";"Southern Europe";"High income"
"Bosnia and Herzegovina";33,8;.;-0,4;"BIH";"Upper middle income";"Europe";"Southern Europe";"Upper middle income"
"Italy";32,2;4;3,2;"ITA";"High income";"Europe";"Southern Europe";"High income"
"Albania";31,9;3,6;-3,3;"ALB";"Upper middle income";"Europe";"Southern Europe";"Upper middle income"
"Samoa";31,9;4,2;-8,1;"WSM";"Upper middle income";"Oceania";"Polynesia";"Upper middle income"
"Georgia";29,9;3,5;0,1;"GEO";"Upper middle income";"Asia";"Western Asia";"Upper middle income"
